"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"publiek#unknown";"1";"1";"1";"publiek";"N";"publiek#1"
"dorpje#unknown";"1";"1";"1";"dorpje";"V";"dorpje#1"
"fitnessen#Facilities";"1";"1";"1";"fitnessen";"G";"fitnessen#1"
"slippers#Bathroom";"1";"1";"1";"slipper";"N";"slippers#1"
"erover#unknown";"1";"1";"1";"erover";"N";"erover#1"
"katten#unknown";"1";"1";"1";"katten";"V";"katten#1"
"hierheen#unknown";"1";"1";"1";"hierheen";"N";"hierheen#1"
"zwemplezier#Swimming pool";"1";"1";"1";"zwemplezier";"A";"zwemplezier#1"
"hotelier#Staff";"1";"1";"1";"hotelier";"A";"hotelier#1"
"kinderstrand#unknown";"1";"1";"1";"kinderstrand";"N";"kinderstrand#1"
"mannetje#unknown";"1";"1";"1";"mannetje";"N";"mannetje#1"
"pendelbussen#Transportation";"1";"1";"1";"pendelbussen";"G";"pendelbussen#1"
"t.v.#Facilities";"1";"1";"1";"t.v.";"N";"t.v.#1"
"bilal#unknown";"1";"1";"1";"bilal";"G";"bilal#1"
"fricand#Breakfast";"1";"1";"1";"fricand";"G";"fricand#1"
"glijbanen.#Swimming pool";"1";"1";"1";"glijbanen.";"O";"glijbanen.#1"
"hoofdbadmeester#Staff";"1";"1";"1";"hoofdbadmeester";"N";"hoofdbadmeester#1"
"eettentjes#unknown";"1";"1";"1";"eettentjes";"V";"eettentjes#1"
"lodge#unknown";"1";"1";"1";"lodge";"N";"lodge#1"
"badslippers#Facilities";"1";"1";"1";"badslippers";"N";"badslippers#1"
"brandy#unknown";"1";"1";"1";"brandy";"N";"brandy#1"
"douchedeuren#Bathroom";"1";"1";"1";"Douchedeuren";"R";"douchedeuren#1"
"hotal#unknown";"1";"1";"1";"hotal";"G";"hotal#1"
"tafelvoetbal#Facilities";"1";"1";"1";"tafelvoetbal";"G";"tafelvoetbal#1"
"cerials#Breakfast";"1";"1";"1";"cerials";"N";"cerials#1"
"drinks#unknown";"1";"1";"1";"drink";"N";"drinks#1"
"aircos#Facilities";"1";"1";"1";"aircos";"N";"aircos#1"
"tosti#Value-for-money";"1";"1";"1";"tosti";"G";"tosti#1"
"straal.zwembad#unknown";"1";"1";"1";"straal.zwembad";"G";"straal.zwembad#1"
"prijsklasse#Value-for-money";"1";"1";"1";"prijsklasse";"N";"prijsklasse#1"
"transfer#Transportation";"1";"1";"1";"transfer";"N";"transfer#1"
"onderlaken#Beds";"1";"1";"1";"onderlaken";"O";"onderlaken#1"
"frietjes#Restaurant";"1";"1";"1";"frietjes";"N";"frietjes#1"
"corfu#Location";"1";"1";"1";"Corfu";"R";"corfu#1"
"glasgordijn#Rooms";"1";"1";"1";"glasgordijn";"N";"glasgordijn#1"
"appartementen#unknown";"1";"1";"1";"Appartementen";"R";"appartementen#1"
"handdoekenwissel#Cleanliness";"1";"1";"1";"Handdoekenwissel";"R";"handdoekenwissel#1"
"garnalencocktail#Restaurant";"1";"1";"1";"garnalencocktail";"N";"garnalencocktail#1"
"roomservice#Facilities";"1";"1";"1";"roomservice";"N";"roomservice#1"
"recreatiemogelijkheden#Facilities";"1";"1";"1";"recreatiemogelijkheden";"N";"recreatiemogelijkheden#1"
"zwembad.#Swimming pool";"1";"1";"1";"zwembad.";"O";"zwembad.#1"
"douch#Bathroom";"1";"1";"1";"douch";"A";"douch#1"
"wifiis#Internet";"1";"1";"1";"wifiis";"N";"wifiis#1"
"receptionisten#Staff";"1";"1";"1";"receptionisten";"N";"receptionisten#1"
"zwembadwater#Swimming pool";"1";"1";"1";"Zwembadwater";"R";"zwembadwater#1"
"keuekn#Restaurant";"1";"1";"1";"keuekn";"N";"keuekn#1"
"stoomkabine#Facilities";"1";"1";"1";"stoomkabine";"N";"stoomkabine#1"
"op.direkteur#Staff";"1";"1";"1";"op.direkteur";"N";"op.direkteur#1"
"gym#Facilities";"1";"1";"1";"gym";"N";"gym#1"
"kinderanimatie#Facilities";"1";"1";"1";"kinderanimatie";"N";"kinderanimatie#1"
"zithoek#Interior/exterior";"1";"1";"1";"zithoek";"N";"zithoek#1"
"magnetron#Facilities";"1";"1";"1";"magnetron";"N";"magnetron#1"
"kledingkast#Rooms";"1";"1";"1";"kledingkast";"N";"kledingkast#1"
"indoorsportmogelijkheden#Facilities";"1";"1";"1";"indoorsportmogelijkheden";"A";"indoorsportmogelijkheden#1"
"strandhotel#unknown";"1";"1";"1";"strandhotel";"G";"strandhotel#1"
"brubbelbad#Facilities";"1";"1";"1";"brubbelbad";"G";"brubbelbad#1"
"personeel.#Staff";"1";"1";"1";"personeel.";"O";"personeel.#1"
"baddoeken#Facilities";"1";"1";"1";"baddoeken";"G";"baddoeken#1"
"kamer.#Rooms";"1";"1";"1";"kamer.";"O";"kamer.#1"
"kamar#unknown";"1";"1";"1";"kamar";"G";"kamar#1"
"douchecabine#Bathroom";"1";"1";"1";"douchecabine";"N";"douchecabine#1"
"varıeteıt#Facilities";"1";"1";"1";"varıeteıt";"O";"varıeteıt#1"
"biefstuk#Restaurant";"1";"1";"1";"biefstuk";"N";"biefstuk#1"
"bestekken#Breakfast";"1";"1";"1";"bestekken";"V";"bestekken#1"
"hiet#unknown";"1";"1";"1";"hiet";"V";"hiet#1"
"koraalrif#unknown";"1";"1";"1";"koraalrif";"O";"koraalrif#1"
"badhandoeken#Bathroom";"1";"1";"1";"badhandoeken";"G";"badhandoeken#1"
"viersterren#unknown";"1";"1";"1";"viersterren";"O";"viersterren#1"
"tandenborstel#Bathroom";"1";"1";"1";"tandenborstel";"N";"tandenborstel#1"
"refill#unknown";"1";"1";"1";"refill";"N";"refill#1"
"afhaal#Restaurant";"1";"1";"1";"afhaal";"G";"afhaal#1"
"vitrage.#Interior/exterior";"1";"1";"1";"vitrage.";"O";"vitrage.#1"
"behangetje#Interior/exterior";"1";"1";"1";"behangetje";"N";"behangetje#1"
"nachtlawaai#Noisiness";"1";"1";"1";"nachtlawaai";"A";"nachtlawaai#1"
"meubilair#Interior/exterior";"1";"1";"1";"Meubilair";"R";"meubilair#1"
"paadjes#unknown";"1";"1";"1";"paadjes";"N";"paadjes#1"
"binnentuin#unknown";"1";"1";"1";"binnentuin";"G";"binnentuin#1"
"verzorging#Cleanliness";"1";"1";"1";"verzorging";"V";"verzorging#1"
"locatie.#Location";"1";"1";"1";"locatie.";"O";"locatie.#1"
"zit.omgeving#unknown";"1";"1";"1";"zit.Omgeving";"R";"zit.omgeving#1"
"oven#Facilities";"1";"1";"1";"oven";"G";"oven#1"
"wijnkaart#Restaurant";"1";"1";"1";"wijnkaart";"N";"wijnkaart#1"
"slaapbank#Beds";"1";"1";"1";"slaapbank";"G";"slaapbank#1"
"wif#Internet";"1";"1";"1";"wif";"O";"wif#1"
"netheid#Cleanliness";"1";"1";"1";"netheid";"N";"netheid#1"
"crooisants#Breakfast";"1";"1";"1";"crooisants";"N";"crooisants#1"
"arrangementen#Facilities";"1";"1";"1";"arrangementen";"O";"arrangementen#1"
"poolman#Swimming pool";"1";"1";"1";"poolman";"N";"poolman#1"
"glijbaantje#unknown";"1";"1";"1";"glijbaantje";"N";"glijbaantje#1"
"accomedatie.gasten#unknown";"1";"1";"1";"accomedatie.gasten";"V";"accomedatie.gasten#1"
"professıonalıteıt#Staff";"1";"1";"1";"professıonalıteıt";"O";"professıonalıteıt#1"
"ijsbuffet#Restaurant";"1";"1";"1";"ijsbuffet";"G";"ijsbuffet#1"
"hotel#unknown";"0";"247";"632";"hotel";"N";"hotel#635"
"kamers#Rooms";"0";"75";"143";"kamers";"N";"kamers#143"
"ontbijt#Breakfast";"0";"67";"143";"ontbijt";"R";"ontbijt#143"
"personeel#Staff";"0";"56";"109";"personeel";"N";"personeel#109"
"kamer#Rooms";"0";"48";"182";"kamer";"N";"kamer#182"
"het#unknown";"0";"41";"1010";"het";"N";"het#1010"
"eten#Restaurant";"0";"34";"132";"eten";"O";"eten#132"
"dit#unknown";"0";"27";"187";"dit";"N";"dit#187"
"badkamer#Bathroom";"0";"27";"49";"badkamer";"N";"badkamer#49"
"ligging#Location";"0";"23";"42";"ligging";"V";"ligging#42"
"zwembad#Swimming pool";"0";"23";"82";"zwembad";"O";"zwembad#82"
"er#unknown";"0";"19";"285";"er";"G";"er#285"
"vakantie#unknown";"0";"18";"50";"vakantie";"N";"vakantie#50"
"hier#unknown";"0";"18";"62";"hier";"G";"hier#62"
"service#Staff";"0";"18";"39";"service";"N";"service#39"
"ze#unknown";"0";"16";"80";"ze";"V";"ze#80"
"alles#unknown";"0";"14";"78";"Alles";"R";"alles#78"
"bedden#Beds";"0";"14";"33";"bedden";"N";"bedden#33"
"bediening#Staff";"0";"11";"20";"bediening";"N";"bediening#20"
"locatie#Location";"0";"10";"18";"locatie";"N";"locatie#18"
"daar#unknown";"0";"9";"51";"daar";"O";"daar#51"
"zwembaden#Swimming pool";"0";"9";"11";"zwembaden";"G";"zwembaden#11"
"bed#Beds";"0";"8";"22";"bed";"N";"bed#22"
"wifi#Internet";"0";"8";"15";"wifi";"N";"wifi#15"
"deze#unknown";"0";"8";"58";"deze";"O";"deze#58"
"verblijf#unknown";"0";"8";"27";"verblijf";"A";"verblijf#27"
"dat#unknown";"0";"8";"206";"Dat";"R";"dat#206"
"restaurant#Restaurant";"0";"8";"45";"restaurant";"N";"restaurant#45"
"ontbijtbuffet#Breakfast";"0";"8";"13";"ontbijtbuffet";"R";"ontbijtbuffet#13"
"douche#Bathroom";"0";"8";"31";"douche";"N";"douche#31"
"handdoeken#Bathroom";"0";"7";"26";"handdoeken";"N";"handdoeken#26"
"omgeving#Location";"0";"6";"25";"omgeving";"V";"omgeving#25"
"camping#unknown";"0";"6";"23";"camping";"N";"camping#23"
"internet#Internet";"0";"5";"10";"internet";"N";"internet#10"
"bar#Facilities";"0";"5";"25";"bar";"N";"bar#25"
"ze#Staff";"0";"5";"80";"ze";"V";"ze#80"
"terras#Facilities";"0";"5";"16";"terras";"N";"terras#16"
"resort#unknown";"0";"4";"19";"Resort";"R";"resort#19"
"airco#Facilities";"0";"4";"17";"airco";"N";"airco#17"
"die#unknown";"0";"4";"134";"die";"V";"die#134"
"brood#Breakfast";"0";"4";"8";"brood";"N";"brood#8"
"tv#Facilities";"0";"4";"13";"TV";"N";"tv#13"
"metro#Transportation";"0";"4";"13";"metro";"R";"metro#13"
"hij#unknown";"0";"4";"13";"hij";"N";"hij#13"
"kamer#unknown";"0";"4";"182";"kamer";"N";"kamer#182"
"lift#Facilities";"0";"4";"9";"lift";"N";"lift#9"
"gelegen#Location";"0";"4";"43";"gelegen";"N";"gelegen#43"
"animatie#Facilities";"0";"3";"18";"animatie";"N";"animatie#18"
"avondeten#Restaurant";"0";"3";"9";"avondeten";"V";"avondeten#9"
"diner#Restaurant";"0";"3";"22";"Diner";"R";"diner#22"
"broodjes#Breakfast";"0";"3";"15";"broodjes";"N";"broodjes#15"
"borden#Restaurant";"0";"3";"5";"borden";"G";"borden#5"
"animatieteam#Staff";"0";"3";"6";"animatieteam";"N";"animatieteam#6"
"parkeren#Car parking";"0";"3";"7";"Parkeren";"R";"parkeren#7"
"strand#Facilities";"0";"3";"38";"strand";"N";"strand#38"
"indruk#unknown";"0";"3";"7";"indruk";"N";"indruk#7"
"uitzicht#Location";"0";"3";"24";"Uitzicht";"R";"uitzicht#24"
"receptie#Staff";"0";"3";"38";"receptie";"N";"receptie#38"
"gegeten#Restaurant";"0";"3";"15";"gegeten";"V";"gegeten#15"
"sanitair#Bathroom";"0";"3";"9";"sanitair";"Q";"sanitair#9"
"eigenaar#Staff";"0";"3";"9";"eigenaar";"G";"eigenaar#9"
"welness#Facilities";"0";"3";"6";"welness";"N";"welness#6"
"dakterras#unknown";"0";"2";"8";"dakterras";"N";"dakterras#8"
"saunalandschap#Facilities";"0";"2";"3";"saunalandschap";"N";"saunalandschap#3"
"plek#Location";"0";"2";"16";"plek";"V";"plek#16"
"douchegordijn#Bathroom";"0";"2";"4";"douchegordijn";"R";"douchegordijn#4"
"prijzen#Value-for-money";"0";"2";"7";"Prijzen";"R";"prijzen#7"
"vloerbedekking#Interior/exterior";"0";"2";"5";"Vloerbedekking";"R";"vloerbedekking#5"
"gordijnen#Interior/exterior";"0";"2";"4";"gordijnen";"N";"gordijnen#4"
"ramen#Interior/exterior";"0";"2";"5";"ramen";"N";"ramen#5"
"hotelkamer#Rooms";"0";"2";"8";"hotelkamer";"N";"hotelkamer#8"
"service#Facilities";"0";"2";"39";"service";"N";"service#39"
"appartement#unknown";"0";"2";"8";"appartement";"N";"appartement#8"
"hij#Staff";"0";"2";"13";"hij";"N";"hij#13"
"meubels#Interior/exterior";"0";"2";"3";"meubels";"N";"meubels#3"
"inchecken#Reservation/check-in/check-out";"0";"2";"3";"Inchecken";"R";"inchecken#3"
"stad#Location";"0";"2";"33";"stad";"N";"stad#34"
"eetzaal#Restaurant";"0";"2";"3";"eetzaal";"G";"eetzaal#3"
"restaurants#Restaurant";"0";"2";"19";"restaurant";"N";"restaurants#19"
"prijs#Value-for-money";"0";"2";"55";"prijs";"O";"prijs#55"
"ontvangst#Staff";"0";"2";"8";"ontvangst";"A";"ontvangst#8"
"medewerkers#Staff";"0";"2";"5";"medewerkers";"N";"medewerkers#5"
"klantvriendelijkheid#unknown";"0";"2";"5";"klantvriendelijkheid";"R";"klantvriendelijkheid#5"
"aanrader#unknown";"0";"2";"44";"aanrader";"N";"aanrader#44"
"service#unknown";"0";"2";"39";"service";"N";"service#39"
"koelkastje#Facilities";"0";"2";"4";"koelkastje";"N";"koelkastje#4"
"iedereen#unknown";"0";"2";"15";"iedereen";"R";"iedereen#15"
"men#unknown";"0";"2";"15";"man";"N";"men#15"
"sfeer#unknown";"0";"2";"6";"sfeer";"N";"sfeer#6"
"koffie#Breakfast";"0";"2";"15";"koffie";"N";"koffie#15"
"fitness#Facilities";"0";"2";"5";"fitness";"N";"fitness#5"
"ontvangst#Reservation/check-in/check-out";"0";"2";"8";"ontvangst";"A";"ontvangst#8"
"rixos#unknown";"0";"2";"5";"Rixos";"R";"rixos#5"
"handdoeken#Cleanliness";"0";"2";"26";"handdoeken";"N";"handdoeken#26"
"hotelletje#unknown";"0";"2";"4";"hotelletje";"N";"hotelletje#4"
"schoonmaak#Cleanliness";"0";"2";"3";"schoonmaak";"N";"schoonmaak#3"
"wat#unknown";"0";"2";"136";"wat";"G";"wat#136"
"allemaal#unknown";"0";"2";"19";"allemaal";"G";"allemaal#19"
"fruit#Breakfast";"0";"2";"10";"fruit";"N";"fruit#10"
"spa#Facilities";"0";"1";"14";"spa";"N";"spa#14"
"pier#unknown";"0";"1";"2";"pier";"N";"pier#2"
"entree#Interior/exterior";"0";"1";"3";"entree";"O";"entree#3"
"thee#Breakfast";"0";"1";"7";"thee";"N";"thee#7"
"ontvangen#Interior/exterior";"0";"1";"6";"ontvangen";"P";"ontvangen#6"
"geluidsoverlast#Noisiness";"0";"1";"6";"Geluidsoverlast";"R";"geluidsoverlast#6"
"keuken#Restaurant";"0";"1";"7";"keuken";"O";"keuken#7"
"inrichting#unknown";"0";"1";"7";"inrichting";"V";"inrichting#7"
"cocktails#unknown";"0";"1";"2";"cocktail";"N";"cocktails#2"
"vanalles#unknown";"0";"1";"3";"vanalles";"N";"vanalles#3"
"tafels#Restaurant";"0";"1";"2";"Tafels";"R";"tafels#2"
"beleg#Breakfast";"0";"1";"2";"beleg";"N";"beleg#2"
"strandvakantie#unknown";"0";"1";"2";"strandvakantie";"N";"strandvakantie#2"
"fohn#Facilities";"0";"1";"3";"fohn";"N";"fohn#3"
"binnen#Interior/exterior";"0";"1";"24";"Binnen";"R";"binnen#24"
"ingericht#Interior/exterior";"0";"1";"17";"ingericht";"N";"ingericht#17"
"shows#Facilities";"0";"1";"2";"show";"N";"shows#2"
"het#Value-for-money";"0";"1";"1010";"het";"N";"het#1010"
"eten#unknown";"0";"1";"132";"eten";"O";"eten#132"
"variatie#Restaurant";"0";"1";"10";"variatie";"N";"variatie#10"
"terras#unknown";"0";"1";"16";"terras";"N";"terras#16"
"jullie#unknown";"0";"1";"2";"jullie";"N";"jullie#2"
"croissantjes#Breakfast";"0";"1";"2";"croissantjes";"N";"croissantjes#2"
"badkamers#Bathroom";"0";"1";"4";"badkamers";"N";"badkamers#4"
"muziek#Noisiness";"0";"1";"9";"muziek";"G";"muziek#9"
"hotel#Cleanliness";"0";"1";"632";"hotel";"N";"hotel#635"
"park#unknown";"0";"1";"17";"park";"N";"park#17"
"waar#unknown";"0";"1";"56";"waar";"V";"waar#56"
"we#unknown";"0";"1";"204";"we";"Q";"we#204"
"shuttlebus#Transportation";"0";"1";"2";"shuttlebus";"O";"shuttlebus#2"
"animatieteam#Facilities";"0";"1";"6";"animatieteam";"N";"animatieteam#6"
"gastvrijheid#Staff";"0";"1";"4";"gastvrijheid";"N";"gastvrijheid#4"
"peter#Staff";"0";"1";"4";"Peter";"R";"peter#4"
"complex#Location";"0";"1";"8";"complex";"N";"complex#8"
"pendelbus#Transportation";"0";"1";"3";"pendelbus";"N";"pendelbus#3"
"touroperator#unknown";"0";"1";"7";"Touroperator";"R";"touroperator#7"
"inrichting#Interior/exterior";"0";"1";"7";"inrichting";"V";"inrichting#7"
"betalen#Value-for-money";"0";"1";"20";"betalen";"P";"betalen#20"
"koelkast#Facilities";"0";"1";"9";"koelkast";"N";"koelkast#9"
"tonda#unknown";"0";"1";"2";"Tonda";"R";"tonda#2"
"drinken#Restaurant";"0";"1";"11";"Drinken";"R";"drinken#11"
"strand#Location";"0";"1";"38";"strand";"N";"strand#38"
"hotel#Location";"0";"1";"632";"hotel";"N";"hotel#635"
"ijsjes#unknown";"0";"1";"2";"ijsjes";"V";"ijsjes#2"
"handdoekservice#Facilities";"0";"1";"3";"handdoekservice";"O";"handdoekservice#3"
"personeelsleden#Staff";"0";"1";"2";"personeelsleden";"G";"personeelsleden#2"
"ontspanning#Facilities";"0";"1";"3";"ontspanning";"V";"ontspanning#3"
"soep#Restaurant";"0";"1";"3";"soep";"N";"soep#3"
"keuze#unknown";"0";"1";"20";"keuze";"N";"keuze#20"
"ruimte#unknown";"0";"1";"8";"ruimte";"N";"ruimte#8"
"gasten#unknown";"0";"1";"30";"Gasten";"R";"gasten#30"
"cappucino#Restaurant";"0";"1";"3";"cappucino";"N";"cappucino#3"
"douches#Bathroom";"0";"1";"3";"douches";"V";"douches#3"
"centraal#Location";"0";"1";"13";"centraal";"G";"centraal#13"
"maaltijden#Restaurant";"0";"1";"7";"maaltijden";"G";"maaltijden#7"
"stacaravan#unknown";"0";"1";"3";"Stacaravan";"R";"stacaravan#3"
"engelsen#unknown";"0";"1";"4";"engelsen";"O";"engelsen#4"
"gebouw#Interior/exterior";"0";"1";"4";"gebouw";"N";"gebouw#4"
"rustig#Noisiness";"0";"1";"16";"rustig";"N";"rustig#16"
"duitsers#unknown";"0";"1";"5";"duitsers";"N";"duitsers#5"
"onthaal#Reservation/check-in/check-out";"0";"1";"2";"onthaal";"G";"onthaal#2"
"coctails#unknown";"0";"1";"3";"coctails";"N";"coctails#3"
"principal#unknown";"0";"1";"6";"Principal";"R";"principal#6"
"leiding#Staff";"0";"1";"5";"leiding";"N";"leiding#5"
"bereikbaar#Transportation";"0";"1";"5";"bereikbaar";"G";"bereikbaar#5"
"faciliteiten#Facilities";"0";"1";"13";"faciliteiten";"N";"faciliteiten#13"
"men#Staff";"0";"1";"15";"man";"N";"men#15"
"buurt#unknown";"0";"1";"17";"buurt";"N";"buurt#17"
"ervaring#unknown";"0";"1";"4";"ervaring";"V";"ervaring#4"
"dakterras#Interior/exterior";"0";"1";"8";"dakterras";"N";"dakterras#8"
"plaats#Location";"0";"1";"12";"plaats";"N";"plaats#12"
"ontbijt#Restaurant";"0";"1";"143";"ontbijt";"R";"ontbijt#143"
"dit#Internet";"0";"1";"187";"dit";"N";"dit#187"
"kamerpersoneel#Staff";"0";"1";"2";"kamerpersoneel";"N";"kamerpersoneel#2"
"vet#unknown";"0";"1";"2";"vet";"N";"vet#2"
"dampbad#Facilities";"0";"1";"2";"dampbad";"G";"dampbad#2"
"hiervan#unknown";"0";"1";"3";"hiervan";"N";"hiervan#3"
"lawaai#Noisiness";"0";"1";"10";"lawaai";"N";"lawaai#10"
"plek#unknown";"0";"1";"16";"plek";"V";"plek#16"
"badjassen#Bathroom";"0";"1";"3";"badjassen";"G";"badjassen#3"
"bus#Transportation";"0";"1";"13";"Bus";"R";"bus#13"
"variatie#unknown";"0";"1";"10";"variatie";"N";"variatie#10"
"gelegen#unknown";"0";"1";"43";"gelegen";"N";"gelegen#43"
"staff#Staff";"0";"1";"5";"Staff";"R";"staff#5"
"t#unknown";"0";"1";"8";"t";"N";"t#8"
"ik#unknown";"0";"1";"120";"ik";"O";"ik#120"
"russen#unknown";"0";"1";"13";"Russen";"R";"russen#13"
"tv#Rooms";"0";"1";"13";"TV";"N";"tv#13"
"wijn#Restaurant";"0";"1";"3";"wijn";"V";"wijn#3"
"kaartje#Facilities";"0";"1";"3";"kaartje";"G";"kaartje#3"
"geur#Cleanliness";"0";"1";"2";"geur";"N";"geur#2"
"uitzicht#Rooms";"0";"1";"24";"Uitzicht";"R";"uitzicht#24"
"lunch#Restaurant";"0";"1";"8";"lunch";"N";"lunch#8"
"kerst#unknown";"0";"1";"2";"kerst";"N";"kerst#2"
"tafelkleden#unknown";"0";"1";"2";"tafelkleden";"O";"tafelkleden#2"
"mohamed#unknown";"0";"1";"10";"mohamed";"V";"mohamed#10"
"tv#unknown";"0";"1";"13";"TV";"N";"tv#13"
"minibar#Facilities";"0";"1";"6";"minibar";"N";"minibar#6"
"meubels#Rooms";"0";"1";"3";"meubels";"N";"meubels#3"
"team#Staff";"0";"1";"6";"team";"N";"team#6"
