"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"desastroso#negative";"1";"1";"1";"desastroso";"N";"desastroso#1"
"personalizada#positive";"1";"1";"1";"personalizada";"N";"personalizada#1"
"ok#positive";"1";"1";"1";"okay";"O";"ok#1"
"sencilla#positive";"1";"1";"1";"sencilla";"N";"sencilla#1"
"gratito#positive";"1";"1";"1";"gratito";"N";"gratito#1"
"antipático#negative";"1";"1";"1";"antipático";"N";"antipático#1"
"cutres#negative";"1";"1";"1";"cutres";"N";"cutres#1"
"enhorabuena#positive";"1";"1";"1";"Enhorabuena";"R";"enhorabuena#1"
"mimado#positive";"1";"1";"1";"mimado";"N";"mimado#1"
"alojaré#positive";"1";"1";"1";"alojaré";"A";"alojaré#1"
"confortable.el#positive";"1";"1";"1";"confortable.El";"R";"confortable.el#1"
"justas.#negative";"1";"1";"1";"justas.";"N";"justas.#1"
"limitado#negative";"1";"1";"1";"limitado";"O";"limitado#1"
"supero#positive";"1";"1";"1";"Supero";"R";"supero#1"
"incompetente#negative";"1";"1";"1";"incompetente";"N";"incompetente#1"
"exepcionales#strongpositive";"1";"1";"1";"exepcionales";"N";"exepcionales#1"
"engancha#strongpositive";"1";"1";"1";"engancha";"N";"engancha#1"
"economico#positive";"1";"1";"1";"economico";"N";"economico#1"
"enviaron#positive";"1";"1";"1";"enviaron";"V";"enviaron#1"
"estadia#strongpositive";"1";"1";"1";"estadia";"N";"estadia#1"
"correctas#positive";"1";"1";"1";"correctas";"N";"correctas#1"
"negocios.buena#positive";"1";"1";"1";"negocios.Buena";"R";"negocios.buena#1"
"amena#positive";"1";"1";"1";"amena";"O";"amena#1"
"hermosas#strongpositive";"1";"1";"1";"Hermosas";"R";"hermosas#1"
"deliciosas#strongpositive";"1";"1";"1";"deliciosas";"O";"deliciosas#1"
"habitación.hay#positive";"1";"1";"1";"habitación.Hay";"R";"habitación.hay#1"
"silencioso#positive";"1";"1";"1";"silencioso";"P";"silencioso#1"
"admiten#positive";"1";"1";"1";"admiten";"N";"admiten#1"
"aceptable.#positive";"1";"1";"1";"aceptable.";"N";"aceptable.#1"
"inclinadas#negative";"1";"1";"1";"inclinadas";"N";"inclinadas#1"
"públicas#positive";"1";"1";"1";"públicas";"N";"públicas#1"
"fantástica#strongpositive";"1";"1";"1";"fantástica";"N";"fantástica#1"
"humano#positive";"1";"1";"1";"humano";"G";"humano#1"
"disfrutabamos#positive";"1";"1";"1";"disfrutabamos";"O";"disfrutabamos#1"
"correctìsimos#strongpositive";"1";"1";"1";"correctìsimos";"N";"correctìsimos#1"
"unagradable#positive";"1";"1";"1";"unagradable";"G";"unagradable#1"
"carece#negative";"1";"1";"1";"carece";"G";"carece#1"
"exiguo#strongnegative";"1";"1";"1";"exiguo";"N";"exiguo#1"
"satisfactorio#positive";"1";"1";"1";"satisfactorio";"N";"satisfactorio#1"
"destacamos#positive";"1";"1";"1";"Destacamos";"R";"destacamos#1"
"justito#negative";"1";"1";"1";"justito";"N";"justito#1"
"acordado#positive";"1";"1";"1";"acordado";"V";"acordado#1"
"mb#strongpositive";"1";"1";"1";"mb";"G";"mb#1"
"proporciona#positive";"1";"1";"1";"proporciona";"N";"proporciona#1"
"magicas#strongpositive";"1";"1";"1";"magicas";"N";"magicas#1"
"pesimas#strongnegative";"1";"1";"1";"pesimas";"N";"pesimas#1"
"facilitándonos#positive";"1";"1";"1";"facilitándonos";"N";"facilitándonos#1"
"cercania#positive";"1";"1";"1";"cercania";"N";"cercania#1"
"remoñones#negative";"1";"1";"1";"remoñones";"N";"remoñones#1"
"grades#positive";"1";"1";"1";"grade";"N";"grades#1"
"permitieron#positive";"1";"1";"1";"permitieron";"V";"permitieron#1"
"magnificas#strongpositive";"1";"1";"1";"magnificas";"N";"magnificas#1"
"invitacion#positive";"1";"1";"1";"invitacion";"N";"invitacion#1"
"sucias#negative";"1";"1";"1";"sucias";"V";"sucias#1"
"privilegiado#strongpositive";"1";"1";"1";"privilegiado";"N";"privilegiado#1"
"reformada#positive";"1";"1";"1";"reformada";"O";"reformada#1"
"impertinente#negative";"1";"1";"1";"impertinente";"N";"impertinente#1"
"caseras#positive";"1";"1";"1";"caseras";"N";"caseras#1"
"entretienen#positive";"1";"1";"1";"entretienen";"V";"entretienen#1"
"confortables.su#positive";"1";"1";"1";"confortables.Su";"R";"confortables.su#1"
"gratuíto#positive";"1";"1";"1";"gratuíto";"O";"gratuíto#1"
"goza#positive";"1";"1";"1";"goza";"O";"goza#1"
"paradisiaco#strongpositive";"1";"1";"1";"paradisiaco";"N";"paradisiaco#1"
"deliciosa#strongpositive";"1";"1";"1";"deliciosa";"N";"deliciosa#1"
"8,5#strongpositive";"1";"1";"1";"8,5";"O";"8,5#1"
"entretenida#positive";"1";"1";"1";"entretenida";"N";"entretenida#1"
"defraudaron#negative";"1";"1";"1";"defraudaron";"V";"defraudaron#1"
"inolvidable.#strongpositive";"1";"1";"1";"inolvidable.";"O";"inolvidable.#1"
"excenete#strongpositive";"1";"1";"1";"excenete";"G";"excenete#1"
"caminado#positive";"1";"1";"1";"caminado";"N";"caminado#1"
"asfixiante#strongpositive";"1";"1";"1";"asfixiante";"N";"asfixiante#1"
"renovado#positive";"1";"1";"1";"renovado";"N";"renovado#1"
"reducido#negative";"1";"1";"1";"reducido";"N";"reducido#1"
"nitido#negative";"1";"1";"1";"nitido";"O";"nitido#1"
"7,5#positive";"1";"1";"1";"7,5";"O";"7,5#1"
"olvidarse#positive";"1";"1";"1";"olvidarse";"G";"olvidarse#1"
"malísimas#strongnegative";"1";"1";"1";"malísimas";"N";"malísimas#1"
"apacible#positive";"1";"1";"1";"apacible";"N";"apacible#1"
"cómoda.el#positive";"1";"1";"1";"cómoda.El";"R";"cómoda.el#1"
"cubiertas#positive";"1";"1";"1";"cubiertas";"N";"cubiertas#1"
"reomendó#positive";"1";"1";"1";"reomendó";"V";"reomendó#1"
"obsequio#positive";"1";"1";"1";"Obsequio";"R";"obsequio#1"
"vovere#positive";"1";"1";"1";"vovere";"N";"vovere#1"
"escelente#strongpositive";"1";"1";"1";"escelente";"G";"escelente#1"
"separado#positive";"1";"1";"1";"separado";"O";"separado#1"
"vomitivo#strongnegative";"1";"1";"1";"vomitivo";"N";"vomitivo#1"
"bajisima#strongnegative";"1";"1";"1";"bajisima";"N";"bajisima#1"
"ameno#positive";"1";"1";"1";"ameno";"V";"ameno#1"
"queje#negative";"1";"1";"1";"queje";"V";"queje#1"
"jubilando#negative";"1";"1";"1";"jubilando";"G";"jubilando#1"
"destaco#positive";"1";"1";"1";"destaco";"N";"destaco#1"
"descansamos#positive";"1";"1";"1";"descansamos";"N";"descansamos#1"
"positivo#positive";"1";"1";"1";"positivo";"O";"positivo#1"
"estupendisimo#strongpositive";"1";"1";"1";"estupendisimo";"N";"estupendisimo#1"
"agradó#positive";"1";"1";"1";"agradó";"N";"agradó#1"
"impecable.#strongpositive";"1";"1";"1";"impecable.";"V";"impecable.#1"
"sorprendernos#strongpositive";"1";"1";"1";"sorprendernos";"O";"sorprendernos#1"
"negó#negative";"1";"1";"1";"negó";"V";"negó#1"
"pedazo#strongpositive";"1";"1";"1";"Pedazo";"R";"pedazo#1"
"amabilisimo#strongpositive";"1";"1";"1";"amabilisimo";"G";"amabilisimo#1"
"extraordinaria#strongpositive";"1";"1";"1";"extraordinaria";"N";"extraordinaria#1"
"incluída#positive";"1";"1";"1";"incluída";"N";"incluída#1"
"lujoso#positive";"1";"1";"1";"lujoso";"N";"lujoso#1"
"desastrosas#strongnegative";"1";"1";"1";"desastrosas";"N";"desastrosas#1"
"abundantes#positive";"1";"1";"1";"abundantes";"N";"abundantes#1"
"anticuadas#negative";"1";"1";"1";"anticuadas";"N";"anticuadas#1"
"destaca#positive";"1";"1";"1";"Destaca";"R";"destaca#1"
"vanguardista#positive";"1";"1";"1";"vanguardista";"R";"vanguardista#1"
"respetable#positive";"1";"1";"1";"respetable";"N";"respetable#1"
"arañazos#negative";"1";"1";"1";"arañazos";"N";"arañazos#1"
"espectacular.#strongpositive";"1";"1";"1";"espectacular.";"N";"espectacular.#1"
"aconsejan#positive";"1";"1";"1";"aconsejan";"N";"aconsejan#1"
"esquisito#strongpositive";"1";"1";"1";"esquisito";"O";"esquisito#1"
"bellisimo#strongpositive";"1";"1";"1";"bellisimo";"G";"bellisimo#1"
"muchisimas#strongpositive";"1";"1";"1";"muchisimas";"O";"muchisimas#1"
"estpendas#strongpositive";"1";"1";"1";"estpendas";"N";"estpendas#1"
"magnifica#strongpositive";"1";"1";"1";"magnifica";"N";"magnifica#1"
"potente#positive";"1";"1";"1";"potente";"N";"potente#1"
"blancas#positive";"1";"1";"1";"blancas";"N";"blancas#1"
"bellisima#strongpositive";"1";"1";"1";"bellisima";"N";"bellisima#1"
"riquísimo#strongpositive";"1";"1";"1";"riquísimo";"N";"riquísimo#1"
"normalitas#positive";"1";"1";"1";"normalitas";"A";"normalitas#1"
"bienn#positive";"1";"1";"1";"Bienn";"R";"bienn#1"
"variadísimo#strongpositive";"1";"1";"1";"variadísimo";"N";"variadísimo#1"
"patetico#strongnegative";"1";"1";"1";"patetico";"N";"patetico#1"
"idónea#strongpositive";"1";"1";"1";"idónea";"N";"idónea#1"
"deficiente#negative";"1";"1";"1";"deficiente";"N";"deficiente#1"
"grasiento#negative";"1";"1";"1";"grasiento";"N";"grasiento#1"
"responsable#positive";"1";"1";"1";"responsable";"G";"responsable#1"
"competente#positive";"1";"1";"1";"competente";"N";"competente#1"
"salvaría#positive";"1";"1";"1";"salvaría";"N";"salvaría#1"
"aconsejaria#positive";"1";"1";"1";"aconsejaria";"V";"aconsejaria#1"
"atrevida#negative";"1";"1";"1";"atrevida";"N";"atrevida#1"
"caseros#positive";"1";"1";"1";"caseros";"N";"caseros#1"
"soberbio#strongpositive";"1";"1";"1";"soberbio";"N";"soberbio#1"
"exhaustiva#strongpositive";"1";"1";"1";"exhaustiva";"O";"exhaustiva#1"
"impaciente#negative";"1";"1";"1";"impaciente";"N";"impaciente#1"
"simpatico#positive";"1";"1";"1";"simpatico";"N";"simpatico#1"
"caótica#strongnegative";"1";"1";"1";"caótica";"N";"caótica#1"
"gratuido#positive";"1";"1";"1";"gratuido";"N";"gratuido#1"
"hermosisimo#strongpositive";"1";"1";"1";"hermosisimo";"N";"hermosisimo#1"
"estratégica#positive";"1";"1";"1";"estratégica";"N";"estratégica#1"
"bellisimos#strongpositive";"1";"1";"1";"bellisimos";"N";"bellisimos#1"
"exquisitas#strongpositive";"1";"1";"1";"exquisitas";"N";"exquisitas#1"
"exelente#strongpositive";"1";"1";"1";"exelente";"V";"exelente#1"
"inmensa#strongpositive";"1";"1";"1";"inmensa";"N";"inmensa#1"
"pequeñito#negative";"1";"1";"1";"pequeñito";"N";"pequeñito#1"
"nula#negative";"1";"1";"1";"nula";"N";"nula#1"
"bloquea#positive";"1";"1";"1";"bloquea";"O";"bloquea#1"
"distincto#positive";"1";"1";"1";"distincto";"G";"distincto#1"
"renovadas#positive";"1";"1";"1";"renovadas";"V";"renovadas#1"
"senzillo#negative";"1";"1";"1";"senzillo";"N";"senzillo#1"
"rota#negative";"1";"1";"1";"rota";"O";"rota#1"
"pidieron#positive";"1";"1";"1";"pidieron";"N";"pidieron#1"
"justas#negative";"1";"1";"1";"justas";"A";"justas#1"
"reconfortantes#positive";"1";"1";"1";"reconfortantes";"N";"reconfortantes#1"
"saliendo#positive";"1";"1";"1";"saliendo";"N";"saliendo#1"
"facil#positive";"1";"1";"1";"Facil";"R";"facil#1"
"increíbles#strongpositive";"1";"1";"1";"increíbles";"N";"increíbles#1"
"luminosas#positive";"1";"1";"1";"luminosas";"V";"luminosas#1"
"encantaron#strongpositive";"1";"1";"1";"encantaron";"O";"encantaron#1"
"felicitar#positive";"1";"1";"1";"felicitar";"O";"felicitar#1"
"exquisita#strongpositive";"1";"1";"1";"exquisita";"O";"exquisita#1"
"caótico#negative";"1";"1";"1";"caótico";"N";"caótico#1"
"respirar#positive";"1";"1";"1";"respirar";"N";"respirar#1"
"incluido.genial#strongpositive";"1";"1";"1";"incluido.Genial";"R";"incluido.genial#1"
"genial.volveremos#strongpositive";"1";"1";"1";"genial.volveremos";"N";"genial.volveremos#1"
"impresionó#strongpositive";"1";"1";"1";"impresionó";"V";"impresionó#1"
"juntas.#negative";"1";"1";"1";"juntas.";"N";"juntas.#1"
"interminables#negative";"1";"1";"1";"interminables";"N";"interminables#1"
"insufrible#strongnegative";"1";"1";"1";"Insufrible";"R";"insufrible#1"
"rapidos#positive";"1";"1";"1";"rapidos";"N";"rapidos#1"
"recomendaré#positive";"1";"1";"1";"recomendaré";"N";"recomendaré#1"
"amplios#positive";"1";"1";"1";"amplios";"N";"amplios#1"
"duras#negative";"1";"1";"1";"duras";"P";"duras#1"
"destacaría#positive";"1";"1";"1";"Destacaría";"R";"destacaría#1"
"inmejorables#strongpositive";"1";"1";"1";"inmejorables";"O";"inmejorables#1"
"comfortables#positive";"1";"1";"1";"comfortables";"N";"comfortables#1"
"diminuta#strongnegative";"1";"1";"1";"diminuta";"N";"diminuta#1"
"variopinta#positive";"1";"1";"1";"variopinta";"V";"variopinta#1"
"serviciales.#positive";"1";"1";"1";"serviciales.";"N";"serviciales.#1"
"salidisimos#strongnegative";"1";"1";"1";"salidisimos";"N";"salidisimos#1"
"discuten#negative";"1";"1";"1";"discuten";"N";"discuten#1"
"enloquecen#strongpositive";"1";"1";"1";"enloquecen";"G";"enloquecen#1"
"mpecables#strongpositive";"1";"1";"1";"mpecables";"O";"mpecables#1"
"amplísima#strongpositive";"1";"1";"1";"amplísima";"N";"amplísima#1"
"verde#positive";"1";"1";"1";"verde";"N";"verde#1"
"ejemplar#strongpositive";"1";"1";"1";"ejemplar";"N";"ejemplar#1"
"comprende#positive";"1";"1";"1";"Comprende";"R";"comprende#1"
"tiernos#positive";"1";"1";"1";"tiernos";"N";"tiernos#1"
"sorprendente#positive";"1";"1";"1";"Sorprendente";"R";"sorprendente#1"
"visitase#positive";"1";"1";"1";"visitase";"N";"visitase#1"
"exuberante#positive";"1";"1";"1";"exuberante";"O";"exuberante#1"
"posee#positive";"1";"1";"1";"Posee";"R";"posee#1"
"podridas#negative";"1";"1";"1";"podridas";"N";"podridas#1"
"horrible.uno#strongnegative";"1";"1";"1";"horrible.Uno";"R";"horrible.uno#1"
"abusando#negative";"1";"1";"1";"abusando";"P";"abusando#1"
"excelente#strongpositive";"0";"84";"94";"excelente";"R";"excelente#95"
"buen#positive";"0";"66";"109";"buen";"R";"buen#109"
"buena#positive";"0";"49";"115";"buena";"N";"buena#115"
"cerca#positive";"0";"39";"74";"cerca";"N";"cerca#74"
"tiene#positive";"0";"36";"95";"tiene";"N";"tiene#95"
"perfecto#strongpositive";"0";"27";"35";"perfecto";"O";"perfecto#35"
"gratuito#positive";"0";"22";"28";"gratuito";"N";"gratuito#28"
"recomiendo#positive";"0";"20";"39";"recomiendo";"N";"recomiendo#39"
"bien#positive";"0";"19";"212";"bien";"N";"bien#212"
"amplias#positive";"0";"19";"24";"amplias";"P";"amplias#24"
"gratis#positive";"0";"18";"24";"gratis";"N";"gratis#24"
"genial#strongpositive";"0";"17";"31";"genial";"G";"genial#31"
"hay#positive";"0";"17";"101";"hay";"N";"hay#101"
"con#positive";"0";"16";"413";"con";"A";"con#413"
"agradable#positive";"0";"16";"34";"agradable";"G";"agradable#34"
"grande#positive";"0";"13";"33";"grande";"V";"grande#33"
"limpio#positive";"0";"12";"36";"limpio";"N";"limpio#36"
"espectacular#strongpositive";"0";"12";"13";"espectacular";"G";"espectacular#13"
"estupendo#strongpositive";"0";"12";"16";"estupendo";"N";"estupendo#16"
"acogedor#positive";"0";"12";"18";"acogedor";"N";"acogedor#18"
"recomendable#positive";"0";"12";"43";"recomendable";"G";"recomendable#43"
"perfecta#strongpositive";"0";"11";"13";"perfecta";"N";"perfecta#13"
"excelentes#strongpositive";"0";"11";"13";"excelentes";"N";"excelentes#13"
"tranquilo#positive";"0";"11";"21";"tranquilo";"N";"tranquilo#21"
"amable#positive";"0";"10";"42";"amable";"G";"amable#42"
"cómodo#positive";"0";"10";"16";"cómodo";"N";"cómodo#16"
"amplia#positive";"0";"10";"17";"amplia";"N";"amplia#17"
"inmejorable#strongpositive";"0";"10";"11";"inmejorable";"G";"inmejorable#11"
"ideal#strongpositive";"0";"10";"28";"ideal";"G";"ideal#28"
"tranquila#positive";"0";"10";"17";"tranquila";"N";"tranquila#17"
"cómodas#positive";"0";"10";"17";"cómodas";"N";"cómodas#17"
"correcto#positive";"0";"10";"19";"correcto";"V";"correcto#19"
"gran#strongpositive";"0";"9";"85";"gran";"R";"gran#85"
"limpias#positive";"0";"9";"15";"limpias";"N";"limpias#15"
"pequeño#negative";"0";"9";"30";"pequeño";"N";"pequeño#30"
"buenos#positive";"0";"9";"18";"buenos";"N";"buenos#18"
"bueno#positive";"0";"9";"49";"bueno";"N";"bueno#49"
"moderno#positive";"0";"9";"13";"moderno";"G";"moderno#13"
"tienes#positive";"0";"9";"26";"tienes";"N";"tienes#26"
"centrico#positive";"0";"9";"15";"centrico";"N";"centrico#15"
"atento#positive";"0";"8";"19";"atento";"P";"atento#19"
"bonito#positive";"0";"8";"17";"bonito";"N";"bonito#17"
"tienen#positive";"0";"8";"28";"tienen";"G";"tienen#28"
"confortable#positive";"0";"8";"16";"confortable";"G";"confortable#16"
"encanto#strongpositive";"0";"8";"15";"encanto";"P";"encanto#15"
"buenas#positive";"0";"7";"21";"buenas";"N";"buenas#21"
"cercano#positive";"0";"7";"11";"cercano";"N";"cercano#11"
"regular#negative";"0";"6";"8";"regular";"G";"regular#8"
"encantador#strongpositive";"0";"6";"9";"encantador";"N";"encantador#9"
"ni#negative";"0";"6";"41";"ni";"G";"ni#41"
"enorme#strongpositive";"0";"6";"10";"enorme";"N";"enorme#10"
"pequeña#negative";"0";"6";"15";"pequeña";"N";"pequeña#15"
"variado#positive";"0";"6";"16";"variado";"N";"variado#16"
"limpia#positive";"0";"6";"12";"limpia";"N";"limpia#12"
"alejado#negative";"0";"6";"8";"alejado";"A";"alejado#8"
"grandes#positive";"0";"6";"25";"grandes";"N";"grandes#25"
"privilegiada#strongpositive";"0";"6";"7";"privilegiada";"N";"privilegiada#7"
"geniales#strongpositive";"0";"6";"8";"geniales";"N";"geniales#8"
"confortables#positive";"0";"6";"10";"confortables";"V";"confortables#10"
"céntrico#positive";"0";"6";"19";"céntrico";"N";"céntrico#19"
"espectaculares#strongpositive";"0";"5";"6";"espectaculares";"N";"espectaculares#6"
"amplio#positive";"0";"5";"7";"amplio";"N";"amplio#7"
"gratuita#positive";"0";"5";"9";"gratuita";"N";"gratuita#9"
"cuidado#positive";"0";"5";"17";"cuidado";"N";"cuidado#17"
"funcional#positive";"0";"5";"6";"funcional";"G";"funcional#6"
"maravilloso#strongpositive";"0";"5";"6";"maravilloso";"N";"maravilloso#6"
"encanta#strongpositive";"0";"5";"8";"encanta";"V";"encanta#8"
"adecuado#positive";"0";"4";"10";"adecuado";"N";"adecuado#10"
"comodas#positive";"0";"4";"6";"comodas";"N";"comodas#6"
"espaciosa#positive";"0";"4";"6";"espaciosa";"O";"espaciosa#6"
"sencillo#negative";"0";"4";"6";"sencillo";"N";"sencillo#6"
"precioso#strongpositive";"0";"4";"6";"precioso";"N";"precioso#6"
"sin#negative";"0";"4";"87";"sin";"N";"sin#87"
"gusto#positive";"0";"4";"16";"gusto";"V";"gusto#16"
"no#negative";"0";"4";"330";"no";"D";"no#332"
"completo#positive";"0";"4";"18";"completo";"N";"completo#18"
"estupenda#strongpositive";"0";"4";"5";"estupenda";"N";"estupenda#5"
"increible#strongpositive";"0";"4";"9";"increible";"G";"increible#9"
"gustó#positive";"0";"4";"12";"gustó";"O";"gustó#12"
"antiguo#negative";"0";"4";"11";"antiguo";"N";"antiguo#11"
"abundante#positive";"0";"4";"5";"abundante";"N";"abundante#5"
"mal#negative";"0";"4";"42";"mal";"G";"mal#42"
"sucio#negative";"0";"4";"6";"sucio";"N";"sucio#6"
"disfrutar#positive";"0";"4";"19";"disfrutar";"N";"disfrutar#19"
"nuevo#positive";"0";"4";"13";"nuevo";"N";"nuevo#13"
"pequeño#positive";"0";"3";"30";"pequeño";"N";"pequeño#30"
"dispones#positive";"0";"3";"4";"dispones";"N";"dispones#4"
"fácil#positive";"0";"3";"4";"fácil";"R";"fácil#4"
"disfrutamos#positive";"0";"3";"6";"disfrutamos";"N";"disfrutamos#6"
"aceptable#positive";"0";"3";"5";"aceptable";"G";"aceptable#5"
"mala#negative";"0";"3";"8";"mala";"N";"mala#8"
"espaciosas#positive";"0";"3";"5";"espaciosas";"V";"espaciosas#5"
"modernas#positive";"0";"3";"4";"modernas";"N";"modernas#4"
"caro#negative";"0";"3";"17";"caro";"N";"caro#17"
"recomendaria#positive";"0";"3";"5";"recomendaria";"N";"recomendaria#5"
"magnifico#strongpositive";"0";"3";"5";"magnifico";"R";"magnifico#5"
"necesita#negative";"0";"3";"10";"necesita";"G";"necesita#10"
"hermoso#strongpositive";"0";"3";"5";"hermoso";"A";"hermoso#5"
"recomendamos#positive";"0";"3";"4";"recomendamos";"V";"recomendamos#4"
