"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"ubicado#Location";"0";"2";"22";"ubicado";"N";"ubicado#22"
"zona#unknown";"0";"2";"73";"zona";"R";"zona#73"
"pubs#Facilities";"0";"2";"3";"pub";"N";"pubs#3"
"complejo#unknown";"0";"2";"10";"complejo";"N";"complejo#10"
"agua#unknown";"0";"2";"27";"agua";"N";"agua#27"
"diseño#Interior/exterior";"0";"2";"5";"diseño";"G";"diseño#5"
"todos#unknown";"0";"2";"66";"todos";"N";"todos#66"
"silencio#Noisiness";"0";"2";"6";"silencio";"N";"silencio#6"
"gente#Staff";"0";"2";"25";"gente";"G";"gente#25"
"terraza#Facilities";"0";"2";"19";"terraza";"O";"terraza#19"
"aqui#unknown";"0";"2";"3";"aqui";"O";"aqui#3"
"todos#Staff";"0";"2";"66";"todos";"N";"todos#66"
"tranquilidad#unknown";"0";"2";"12";"tranquilidad";"N";"tranquilidad#12"
"desayunar#Breakfast";"0";"2";"6";"desayunar";"P";"desayunar#6"
"todo#Cleanliness";"0";"2";"193";"todo";"N";"todo#193"
"gente#unknown";"0";"2";"25";"gente";"G";"gente#25"
"habitacion#Rooms";"0";"2";"32";"habitacion";"N";"habitacion#32"
"situación#unknown";"0";"2";"24";"situación";"N";"situación#24"
"localización#unknown";"0";"2";"8";"localización";"N";"localización#8"
"cenas#Restaurant";"0";"2";"6";"cenas";"O";"cenas#6"
"bollería#Breakfast";"0";"2";"4";"bollería";"N";"bollería#4"
"vistas#Rooms";"0";"2";"39";"vista";"N";"vistas#39"
"musicales#Location";"0";"2";"3";"musicales";"N";"musicales#3"
"internet#Internet";"0";"2";"11";"internet";"N";"internet#11"
"toallas#Facilities";"0";"2";"6";"toallas";"N";"toallas#6"
"eso#unknown";"0";"2";"22";"eso";"N";"eso#22"
"alojamiento#unknown";"0";"2";"6";"alojamiento";"P";"alojamiento#6"
"todo#Interior/exterior";"0";"2";"193";"todo";"N";"todo#193"
"atendidos#Staff";"0";"2";"3";"atendidos";"O";"atendidos#3"
"autobus#Transportation";"0";"2";"6";"autobus";"O";"autobus#6"
"restaurantes#Restaurant";"0";"2";"32";"restaurantes";"V";"restaurantes#32"
"mobiliario#Interior/exterior";"0";"2";"5";"mobiliario";"N";"mobiliario#5"
"descansar#unknown";"0";"2";"15";"descansar";"O";"descansar#15"
"dormir#unknown";"0";"2";"12";"dormir";"G";"dormir#12"
"iluminación#unknown";"0";"2";"3";"iluminación";"N";"iluminación#3"
"aparcamiento#Car parking";"0";"1";"6";"aparcamiento";"P";"aparcamiento#6"
"estancias#Rooms";"0";"1";"2";"estancias";"V";"estancias#2"
"jacuzzi#unknown";"0";"1";"8";"jacuzzi";"O";"jacuzzi#8"
"bar#Restaurant";"0";"1";"21";"bar";"N";"bar#21"
"opcion#unknown";"0";"1";"2";"opcion";"N";"opcion#2"
"colchones#Beds";"0";"1";"2";"colchones";"V";"colchones#2"
"atención#unknown";"0";"1";"27";"atención";"N";"atención#27"
"autobuses#Transportation";"0";"1";"11";"autobuses";"N";"autobuses#11"
"radisson#unknown";"0";"1";"2";"Radisson";"R";"radisson#2"
"escritorio#Facilities";"0";"1";"2";"escritorio";"O";"escritorio#2"
"parada#unknown";"0";"1";"30";"Parada";"R";"parada#30"
"aeropuerto#Location";"0";"1";"12";"aeropuerto";"N";"aeropuerto#12"
"bares#Facilities";"0";"1";"17";"bares";"N";"bares#17"
"arena#unknown";"0";"1";"6";"arena";"N";"arena#6"
"servicio#unknown";"0";"1";"85";"servicio";"N";"servicio#85"
"los#Car parking";"0";"1";"274";"los";"N";"los#274"
"ciudad#unknown";"0";"1";"64";"ciudad";"N";"ciudad#64"
"reposeras#Swimming pool";"0";"1";"3";"reposeras";"O";"reposeras#3"
"stress#unknown";"0";"1";"2";"stress";"N";"stress#2"
"espacio#Interior/exterior";"0";"1";"5";"espacio";"N";"espacio#5"
"luz#unknown";"0";"1";"2";"luz";"G";"luz#2"
"comunicado#Transportation";"0";"1";"15";"comunicado";"N";"comunicado#15"
"reposeras#Facilities";"0";"1";"3";"reposeras";"O";"reposeras#3"
"cava#unknown";"0";"1";"6";"cava";"N";"cava#6"
"malo#unknown";"0";"1";"14";"malo";"O";"malo#14"
"ella#unknown";"0";"1";"3";"ella";"N";"ella#3"
"decoracion#Interior/exterior";"0";"1";"3";"decoracion";"N";"decoracion#3"
"descanso#unknown";"0";"1";"6";"descanso";"N";"descanso#6"
"años#unknown";"0";"1";"10";"años";"N";"años#10"
"le#unknown";"0";"1";"12";"le";"O";"le#12"
"hoteles#unknown";"0";"1";"41";"hoteles";"N";"hoteles#41"
"cafes#Facilities";"0";"1";"3";"cafe";"N";"cafes#3"
"mantas#Beds";"0";"1";"2";"mantas";"V";"mantas#2"
"peñíscola#Location";"0";"1";"5";"Peñíscola";"R";"peñíscola#5"
"seguridad#unknown";"0";"1";"6";"SEGURIDAD";"R";"seguridad#6"
"alli#unknown";"0";"1";"8";"alli";"N";"alli#8"
"cuidado#Interior/exterior";"0";"1";"17";"cuidado";"V";"cuidado#17"
"buffet#Restaurant";"0";"1";"31";"buffet";"N";"buffet#31"
"clima#unknown";"0";"1";"2";"clima";"N";"clima#2"
"clientela#unknown";"0";"1";"5";"Clientela";"R";"clientela#5"
"organización#unknown";"0";"1";"2";"Organización";"R";"organización#2"
"lobby#Facilities";"0";"1";"6";"lobby";"N";"lobby#6"
"iluminación#Rooms";"0";"1";"3";"iluminación";"N";"iluminación#3"
"camping#unknown";"0";"1";"14";"camping";"N";"camping#14"
"reclamaciones#unknown";"0";"1";"2";"reclamaciones";"V";"reclamaciones#2"
"apartamento#unknown";"0";"1";"5";"APARTAMENTO";"R";"apartamento#5"
"plancha#unknown";"0";"1";"8";"plancha";"N";"plancha#8"
"resort#unknown";"0";"1";"3";"resort";"N";"resort#3"
"recepcionistas#Staff";"0";"1";"2";"recepcionistas";"N";"recepcionistas#2"
"allí#unknown";"0";"1";"12";"allí";"O";"allí#12"
"pisa#Location";"0";"1";"5";"Pisa";"R";"pisa#5"
"confort#unknown";"0";"1";"3";"confort";"N";"confort#3"
"todo#Breakfast";"0";"1";"193";"todo";"N";"todo#193"
"sorpresa#unknown";"0";"1";"4";"Sorpresa";"R";"sorpresa#4"
"ascensor#Facilities";"0";"1";"4";"ascensor";"N";"ascensor#4"
"equipamiento#Facilities";"0";"1";"2";"equipamiento";"N";"equipamiento#2"
"vegetación#Interior/exterior";"0";"1";"2";"vegetación";"N";"vegetación#2"
"compras#Location";"0";"1";"9";"compras";"V";"compras#9"
"bufet#Restaurant";"0";"1";"7";"bufet";"N";"bufet#7"
"dias#unknown";"0";"1";"18";"Dias";"R";"dias#18"
"hotel.#unknown";"0";"1";"4";"hotel.";"N";"hotel.#4"
"animacion#Facilities";"0";"1";"4";"animacion";"N";"animacion#4"
"mozos#Staff";"0";"1";"2";"mozos";"V";"mozos#2"
"bebidas#Restaurant";"0";"1";"9";"bebidas";"N";"bebidas#9"
"destinos#Location";"0";"1";"4";"destinos";"O";"destinos#4"
"servicio#Facilities";"0";"1";"85";"servicio";"N";"servicio#85"
"situacion#Location";"0";"1";"5";"situacion";"N";"situacion#5"
"renovación#Interior/exterior";"0";"1";"3";"renovación";"N";"renovación#3"
"niños#unknown";"0";"1";"25";"niños";"N";"niños#25"
"comunicación#Transportation";"0";"1";"3";"comunicación";"N";"comunicación#3"
"otro#unknown";"0";"1";"12";"otro";"N";"otro#12"
"estrellas#unknown";"0";"1";"31";"estrellas";"N";"estrellas#31"
"toallas#Bathroom";"0";"1";"6";"toallas";"N";"toallas#6"
"días#unknown";"0";"1";"33";"días";"N";"días#33"
"miel#Breakfast";"0";"1";"4";"miel";"N";"miel#4"
"agua#Facilities";"0";"1";"27";"agua";"N";"agua#27"
"fachada#Interior/exterior";"0";"1";"5";"fachada";"N";"fachada#5"
"comodidades#Facilities";"0";"1";"15";"comodidades";"N";"comodidades#15"
"aire#unknown";"0";"1";"22";"aire";"N";"aire#22"
"zonas#Facilities";"0";"1";"10";"Zonas";"R";"zonas#10"
"siena#Location";"0";"1";"2";"siena";"N";"siena#2"
"negocios#Location";"0";"1";"10";"negocios";"N";"negocios#10"
"estado#Interior/exterior";"0";"1";"28";"estado";"G";"estado#28"
"modernidad#unknown";"0";"1";"2";"modernidad";"N";"modernidad#2"
"cafeteria#Location";"0";"1";"4";"cafeteria";"N";"cafeteria#4"
"decoración#Interior/exterior";"0";"1";"10";"Decoración";"R";"decoración#10"
"esta#unknown";"0";"1";"112";"esta";"N";"esta#112"
"cuartos#Rooms";"0";"1";"3";"cuartos";"N";"cuartos#3"
"muebles#Interior/exterior";"0";"1";"2";"muebles";"N";"muebles#2"
"viaje#unknown";"0";"1";"19";"Viaje";"R";"viaje#19"
"mantenimiento#Interior/exterior";"0";"1";"6";"mantenimiento";"P";"mantenimiento#6"
"piscina#Facilities";"0";"1";"46";"piscina";"N";"piscina#46"
"comidas#Restaurant";"0";"1";"9";"comidas";"N";"comidas#9"
"habitacion#Beds";"0";"1";"32";"habitacion";"N";"habitacion#32"
"uno#unknown";"0";"1";"22";"uno";"G";"uno#22"
"pensión#unknown";"0";"1";"9";"pensión";"N";"pensión#9"
"bañera#Bathroom";"0";"1";"7";"bañera";"N";"bañera#7"
"juegos#Facilities";"0";"1";"4";"juegos";"N";"juegos#4"
"productos#Breakfast";"0";"1";"6";"productos";"O";"productos#6"
"amacas#Facilities";"0";"1";"2";"amacas";"V";"amacas#2"
"estadía#unknown";"0";"1";"2";"estadía";"N";"estadía#2"
"cercanías#Transportation";"0";"1";"3";"cercanías";"O";"cercanías#3"
"lujos#unknown";"0";"1";"4";"lujos";"N";"lujos#4"
"alcohol#unknown";"0";"1";"2";"alcohol";"N";"alcohol#2"
"atocha#Location";"0";"1";"2";"Atocha";"R";"atocha#2"
"persianas#Facilities";"0";"1";"3";"persianas";"N";"persianas#3"
"habitación#Beds";"0";"1";"119";"habitación";"N";"habitación#119"
"autobús#Transportation";"0";"1";"7";"autobús";"N";"autobús#7"
"oferta#unknown";"0";"1";"12";"oferta";"N";"oferta#12"
"esa#unknown";"0";"1";"10";"Esa";"R";"esa#10"
"gestión#unknown";"0";"1";"2";"Gestión";"R";"gestión#2"
"ifema#Location";"0";"1";"2";"IFEMA";"R";"ifema#2"
"toscana#Location";"0";"1";"5";"Toscana";"R";"toscana#5"
"aseo#Cleanliness";"0";"1";"5";"aseo";"G";"aseo#5"
"le#Staff";"0";"1";"12";"le";"O";"le#12"
"hamacas#Facilities";"0";"1";"3";"hamacas";"N";"hamacas#3"
"comida#unknown";"0";"1";"51";"comida";"N";"comida#51"
"cafeteria#Facilities";"0";"1";"4";"cafeteria";"N";"cafeteria#4"
"taxi#Transportation";"0";"1";"6";"taxi";"N";"taxi#6"
"florencia#Location";"0";"1";"5";"Florencia";"R";"florencia#5"
"cafeterias#Location";"0";"1";"2";"cafeterias";"N";"cafeterias#2"
"se#unknown";"0";"1";"195";"se";"N";"se#195"
"estudio#unknown";"0";"1";"2";"estudio";"N";"estudio#2"
"visitarlo#unknown";"0";"1";"3";"visitarlo";"O";"visitarlo#3"
"solarium#Facilities";"0";"1";"3";"solarium";"N";"solarium#3"
"restaurantes#unknown";"0";"1";"32";"restaurantes";"V";"restaurantes#32"
"infusiones#Facilities";"0";"1";"4";"infusiones";"N";"infusiones#4"
"personal#unknown";"0";"1";"135";"personal";"G";"personal#135"
"disposición#Staff";"0";"1";"2";"disposición";"N";"disposición#2"
"nevera#Facilities";"0";"1";"4";"nevera";"N";"nevera#4"
"compras#unknown";"0";"1";"9";"compras";"V";"compras#9"
"espectáculos#unknown";"0";"1";"7";"espectáculos";"N";"espectáculos#7"
"restaurante#Restaurant";"0";"1";"22";"restaurante";"N";"restaurante#22"
"atenciones#Staff";"0";"1";"6";"atenciones";"N";"atenciones#6"
"situacion#unknown";"0";"1";"5";"situacion";"N";"situacion#5"
"servicios#unknown";"0";"1";"23";"servicios";"N";"servicios#23"
"relax#Noisiness";"0";"1";"18";"relax";"G";"relax#18"
"combinación#Transportation";"0";"1";"3";"combinación";"N";"combinación#3"
"juegos#unknown";"0";"1";"4";"juegos";"N";"juegos#4"
"masajes#Facilities";"0";"1";"2";"masajes";"V";"masajes#2"
"marriott#unknown";"0";"1";"3";"Marriott";"R";"marriott#3"
"metromover#Transportation";"0";"1";"2";"Metromover";"R";"metromover#2"
"palacio#unknown";"0";"1";"3";"palacio";"N";"palacio#3"
"escritorio#Rooms";"0";"1";"2";"escritorio";"O";"escritorio#2"
"encanto#Interior/exterior";"0";"1";"15";"encanto";"P";"encanto#15"
"paisaje#Interior/exterior";"0";"1";"2";"paisaje";"N";"paisaje#2"
"alimentación#Location";"0";"1";"2";"alimentación";"G";"alimentación#2"
"donde#unknown";"0";"1";"38";"donde";"G";"donde#38"
"trabajo#unknown";"0";"1";"17";"trabajo";"N";"trabajo#17"
"detalle#unknown";"0";"1";"13";"detalle";"N";"detalle#13"
"edificio#Interior/exterior";"0";"1";"3";"edificio";"N";"edificio#3"
"tragos#Facilities";"0";"1";"2";"tragos";"N";"tragos#2"
"sala#Facilities";"0";"1";"6";"sala";"N";"sala#6"
"pepsi#unknown";"0";"1";"5";"pepsi";"N";"pepsi#5"
"hotal#unknown";"0";"1";"2";"hotal";"G";"hotal#2"
"demás#Interior/exterior";"0";"1";"9";"demás";"V";"demás#9"
"barcelona#Location";"0";"1";"32";"Barcelona";"R";"barcelona#32"
"pan#Breakfast";"0";"1";"3";"pan";"N";"pan#3"
"comfort#Facilities";"0";"1";"2";"comfort";"N";"comfort#2"
"sofá#Facilities";"0";"1";"4";"sofá";"N";"sofá#4"
"eleccion#unknown";"0";"1";"4";"eleccion";"G";"eleccion#4"
"acceso#Location";"0";"1";"21";"acceso";"O";"acceso#21"
"jacuzzi#Bathroom";"0";"1";"8";"jacuzzi";"O";"jacuzzi#8"
"madrid#Location";"0";"1";"100";"Madrid";"R";"madrid#100"
"garaje#Car parking";"0";"1";"4";"garaje";"N";"garaje#4"
"sofá#Rooms";"0";"1";"4";"sofá";"N";"sofá#4"
"camas#Rooms";"0";"1";"26";"camas";"N";"camas#26"
"metro#Location";"0";"1";"55";"metro";"N";"metro#55"
"experiencia#unknown";"0";"1";"15";"experiencia";"N";"experiencia#15"
"comedor#Restaurant";"0";"1";"6";"comedor";"N";"comedor#6"
"camino#unknown";"0";"1";"3";"camino";"N";"camino#3"
"suelo#Interior/exterior";"0";"1";"6";"suelo";"N";"suelo#6"
"persianas#Rooms";"0";"1";"3";"persianas";"N";"persianas#3"
"tamaño#Interior/exterior";"0";"1";"10";"tamaño";"N";"tamaño#10"
"escaleras#Interior/exterior";"0";"1";"5";"escaleras";"N";"escaleras#5"
"una#unknown";"0";"1";"277";"una";"G";"una#277"
"el wifi#Internet";"1";"5";"5";"el wifi";"N N";"el#1001 wifi#24"
"los desayunos#Breakfast";"1";"5";"5";"los desayunos";"N N";"los#274 desayunos#11"
"un personal#Staff";"1";"4";"4";"un personal";"G G";"un#503 personal#135"
