"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"angemessen.die#positive";"1";"1";"1";"die";"D";"angemessen.die#1"
"elegantes#positive";"1";"1";"1";"elegant";"G";"elegantes#1"
"unsaubere#negative";"1";"1";"1";"unsauber";"G";"unsaubere#1"
"kalkspuhren#negative";"1";"1";"1";"kalkspuhren";"O";"kalkspuhren#1"
"zuvorkommender#positive";"1";"1";"1";"zuvorkommend";"G";"zuvorkommender#1"
"flexibel#positive";"1";"1";"1";"flexibel";"G";"flexibel#1"
"reichliches#positive";"1";"1";"1";"reichlich";"G";"reichliches#1"
"verständigungsschwierigkeiten#negative";"1";"1";"1";"Verständigungsschwierigkeit";"N";"verständigungsschwierigkeiten#1"
"engagiertes#positive";"1";"1";"1";"engagiert";"G";"engagiertes#1"
"unpersönlich#negative";"1";"1";"1";"unpersönlich";"G";"unpersönlich#1"
"schwarzschimmel#strongnegative";"1";"1";"1";"Schwarzschimmel";"O";"schwarzschimmel#1"
"vielseitig#positive";"1";"1";"1";"vielseitig";"G";"vielseitig#1"
"zweckmäßiges#positive";"1";"1";"1";"zweckmäßig";"G";"zweckmäßiges#1"
"veraltete#negative";"1";"1";"1";"veraltet";"G";"veraltete#1"
"katastrophen#strongnegative";"1";"1";"1";"Katastrophe";"N";"katastrophen#1"
"kissen#positive";"1";"1";"1";"Kissen";"N";"kissen#1"
"überzeugend#positive";"1";"1";"1";"überzeugend";"G";"überzeugend#1"
"tennisplätze#positive";"1";"1";"1";"Tennisplatz";"N";"tennisplätze#1"
"herrlicher#positive";"1";"1";"1";"herrlich";"G";"herrlicher#1"
"angestaubt#positive";"1";"1";"1";"anstauben";"V";"angestaubt#1"
"renovierungsbedürftige#negative";"1";"1";"1";"renovierungsbedürftig";"G";"renovierungsbedürftige#1"
"harmonisch#positive";"1";"1";"1";"harmonisch";"G";"harmonisch#1"
"reger#positive";"1";"1";"1";"rege";"G";"reger#1"
"zweckmäßig#positive";"1";"1";"1";"zweckmäßig";"G";"zweckmäßig#1"
"untrainiert#negative";"1";"1";"1";"untrainiert";"G";"untrainiert#1"
"stadtnähe#positive";"1";"1";"1";"Stadtnähe";"N";"stadtnähe#1"
"überladen#negative";"1";"1";"1";"überladen";"V";"überladen#1"
"schmale#negative";"1";"1";"1";"schmal";"G";"schmale#1"
"flughafeneinflugschneise#negative";"1";"1";"1";"Flughafeneinflugschneise";"O";"flughafeneinflugschneise#1"
"appetitlich#positive";"1";"1";"1";"appetitlich";"G";"appetitlich#1"
"führungsloses#negative";"1";"1";"1";"Führungsloses";"O";"führungsloses#1"
"baustellen#negative";"1";"1";"1";"Baustelle";"N";"baustellen#1"
"wird.perfekter#positive";"1";"1";"1";"perfekt";"G";"wird.perfekter#1"
"plastik#negative";"1";"1";"1";"Plastik";"N";"plastik#1"
"funktionell#positive";"1";"1";"1";"funktionell";"G";"funktionell#1"
"spielplatz#positive";"1";"1";"1";"Spielplatz";"N";"spielplatz#1"
"supermodern#strongpositive";"1";"1";"1";"supermodern";"O";"supermodern#1"
"verschmiert#negative";"1";"1";"1";"verschmieren";"V";"verschmiert#1"
"höflich#positive";"1";"1";"1";"höflich";"G";"höflich#1"
"wunderbarer#strongpositive";"1";"1";"1";"wunderbar";"G";"wunderbarer#1"
"grp0e#positive";"1";"1";"1";"grp0e";"O";"grp0e#1"
"tadelos#positive";"1";"1";"1";"tadelos";"O";"tadelos#1"
"gegenueber#positive";"1";"1";"1";"gegenueber";"O";"gegenueber#1"
"durchgelegene#negative";"1";"1";"1";"durchgelegen";"G";"durchgelegene#1"
"verspiegelt#positive";"1";"1";"1";"verspiegeln";"V";"verspiegelt#1"
"gemütliche#positive";"1";"1";"1";"gemütlich";"G";"gemütliche#1"
"falsch#negative";"1";"1";"1";"falsch";"G";"falsch#1"
"heruntergekommenes#negative";"1";"1";"1";"heruntergekommen";"G";"heruntergekommenes#1"
"verdreckt#negative";"1";"1";"1";"verdreckt";"O";"verdreckt#1"
"angelegt.tolle#positive";"1";"1";"1";"toll";"G";"angelegt.tolle#1"
"herrliche#strongpositive";"1";"1";"1";"herrlich";"G";"herrliche#1"
"verschlissen#negative";"1";"1";"1";"verschleißen";"V";"verschlissen#1"
"mangelhaft#negative";"1";"1";"1";"mangelhaft";"G";"mangelhaft#1"
"inkompetent#negative";"1";"1";"1";"inkompetent";"G";"inkompetent#1"
"erdbeeren#positive";"1";"1";"1";"Erdbeere";"N";"erdbeeren#1"
"vornehme#positive";"1";"1";"1";"vornehm";"G";"vornehme#1"
"abgebrochen#negative";"1";"1";"1";"abbrechen";"V";"abgebrochen#1"
"rost#negative";"1";"1";"1";"Rost";"N";"rost#1"
"hervorragend.zusammenfassend#positive";"1";"1";"1";"zusammenfassend";"G";"hervorragend.zusammenfassend#1"
"abgestoßen#negative";"1";"1";"1";"abstoßen";"V";"abgestoßen#1"
"fleißig#positive";"1";"1";"1";"fleißig";"G";"fleißig#1"
"rettung#positive";"1";"1";"1";"Rettung";"N";"rettung#1"
"kompetentes#positive";"1";"1";"1";"kompetent";"G";"kompetentes#1"
"schimmelbefall#negative";"1";"1";"1";"Schimmelbefall";"N";"schimmelbefall#1"
"gleichzeitig#negative";"1";"1";"1";"gleichzeitig";"G";"gleichzeitig#1"
"friedlichen#positive";"1";"1";"1";"friedlich";"G";"friedlichen#1"
"verschlungen#negative";"1";"1";"1";"verschlungen";"G";"verschlungen#1"
"verstopft#negative";"1";"1";"1";"verstopfen";"V";"verstopft#1"
"bedanken.jeden#strongpositive";"1";"1";"1";"jede";"Q";"bedanken.jeden#1"
"ausreichendes#positive";"1";"1";"1";"ausreichend";"G";"ausreichendes#1"
"charmantes#positive";"1";"1";"1";"charmant";"G";"charmantes#1"
"enges#negative";"1";"1";"1";"eng";"G";"enges#1"
"kiesig#negative";"1";"1";"1";"kiesig";"O";"kiesig#1"
"baulärm#negative";"1";"1";"1";"Baulärm";"N";"baulärm#1"
"schlechtestes#strongnegative";"1";"1";"1";"schlecht";"G";"schlechtestes#1"
"undicht#negative";"1";"1";"1";"undicht";"G";"undicht#1"
"lausig#strongnegative";"1";"1";"1";"lausig";"G";"lausig#1"
"zentrumsnahes#positive";"1";"1";"1";"Zentrumsnahes";"O";"zentrumsnahes#1"
"gemütliches#positive";"1";"1";"1";"gemütlich";"G";"gemütliches#1"
"schimmelproblem#negative";"1";"1";"1";"Schimmelproblem";"O";"schimmelproblem#1"
"kompetenten#positive";"1";"1";"1";"kompetent";"G";"kompetenten#1"
"eiskalt.#strongnegative";"1";"1";"1";".";"O";"eiskalt.#1"
"nagativ#negative";"1";"1";"1";"Nagativ";"O";"nagativ#1"
"undefinierbarer#negative";"1";"1";"1";"undefinierbar";"G";"undefinierbarer#1"
"katastrophal#strongnegative";"1";"1";"1";"katastrophal";"G";"katastrophal#1"
"schatten#negative";"1";"1";"1";"Schatten";"N";"schatten#1"
"hochpreisig#negative";"1";"1";"1";"hochpreisig";"O";"hochpreisig#1"
"schimmelt#negative";"1";"1";"1";"schimmeln";"V";"schimmelt#1"
"bescheuert#strongnegative";"1";"1";"1";"bescheuert";"G";"bescheuert#1"
"uralter#strongnegative";"1";"1";"1";"uralt";"G";"uralter#1"
"gefreut#positive";"1";"1";"1";"freuen";"V";"gefreut#1"
"stickig#negative";"1";"1";"1";"stickig";"G";"stickig#1"
"fingertatscher#negative";"1";"1";"1";"Fingertatscher";"O";"fingertatscher#1"
"engagiert#positive";"1";"1";"1";"engagiert";"G";"engagiert#1"
"freundlichem#positive";"1";"1";"1";"freundlich";"G";"freundlichem#1"
"klasklar#strongpositive";"1";"1";"1";"klasklar";"O";"klasklar#1"
"tollste#positive";"1";"1";"1";"toll";"G";"tollste#1"
"animiert#positive";"1";"1";"1";"animieren";"V";"animiert#1"
"gediegen#positive";"1";"1";"1";"gediegen";"G";"gediegen#1"
"abweisend#negative";"1";"1";"1";"abweisend";"G";"abweisend#1"
"riesengroßen#strongpositive";"1";"1";"1";"riesengroß";"G";"riesengroßen#1"
"sandwiches#positive";"1";"1";"1";"Sandwich";"N";"sandwiches#1"
"lahm#negative";"1";"1";"1";"lahm";"G";"lahm#1"
"fleckiger#negative";"1";"1";"1";"fleckig";"G";"fleckiger#1"
"perfektem#strongpositive";"1";"1";"1";"perfekt";"G";"perfektem#1"
"traumaussicht#strongpositive";"1";"1";"1";"Traumaussicht";"O";"traumaussicht#1"
"erstklassiger#strongpositive";"1";"1";"1";"erstklassig";"G";"erstklassiger#1"
"unmodern#negative";"1";"1";"1";"unmodern";"G";"unmodern#1"
"dreckiges#negative";"1";"1";"1";"dreckig";"G";"dreckiges#1"
"unansehnlich#negative";"1";"1";"1";"unansehnlich";"G";"unansehnlich#1"
"moderne#positive";"1";"1";"1";"modern";"G";"moderne#1"
"vergraute#negative";"1";"1";"1";"vergraute";"O";"vergraute#1"
"ausfall#negative";"1";"1";"1";"Ausfall";"N";"ausfall#1"
"mittelgross#positive";"1";"1";"1";"mittelgroß";"G";"mittelgross#1"
"erholen#positive";"1";"1";"1";"erholen";"V";"erholen#1"
"verdreckte#negative";"1";"1";"1";"verdreckt";"G";"verdreckte#1"
"phantastische#strongpositive";"1";"1";"1";"phantastisch";"G";"phantastische#1"
"besaufen#negative";"1";"1";"1";"besaufen";"V";"besaufen#1"
"freizeit.#negative";"1";"1";"1";".";"O";"freizeit.#1"
"fahrzeit#positive";"1";"1";"1";"Fahrzeit";"N";"fahrzeit#1"
"ekelig#strongnegative";"1";"1";"1";"ekelig";"G";"ekelig#1"
"ideales#strongpositive";"1";"1";"1";"ideal";"G";"ideales#1"
"abgeschieden#positive";"1";"1";"1";"abscheiden";"V";"abgeschieden#1"
"sensationell#strongpositive";"1";"1";"1";"sensationell";"G";"sensationell#1"
"liebenswert#positive";"1";"1";"1";"liebenswert";"G";"liebenswert#1"
"ueberfordertes#negative";"1";"1";"1";"ueberfordertes";"O";"ueberfordertes#1"
"engagement#positive";"1";"1";"1";"Engagement";"N";"engagement#1"
"unübersehbar#negative";"1";"1";"1";"unübersehbar";"G";"unübersehbar#1"
"hilfsbereit.#positive";"1";"1";"1";".";"O";"hilfsbereit.#1"
"preiswertes#positive";"1";"1";"1";"preiswert";"G";"preiswertes#1"
"ausgefallenen#positive";"1";"1";"1";"ausgefallen";"G";"ausgefallenen#1"
"dünner#negative";"1";"1";"1";"dünn";"G";"dünner#1"
"klitzekleine#negative";"1";"1";"1";"klitzekleine";"O";"klitzekleine#1"
"grösser#positive";"1";"1";"1";"groß";"G";"grösser#1"
"unverkleidete#negative";"1";"1";"1";"unverkleidete";"O";"unverkleidete#1"
"pvc#negative";"1";"1";"1";"PVC";"N";"pvc#1"
"fabrikbrötchen#negative";"1";"1";"1";"Fabrikbrötchen";"O";"fabrikbrötchen#1"
"vernünftiger#positive";"1";"1";"1";"vernünftig";"G";"vernünftiger#1"
"unbequemer#negative";"1";"1";"1";"unbequem";"G";"unbequemer#1"
"steiler#negative";"1";"1";"1";"steil";"G";"steiler#1"
"schoenes#positive";"1";"1";"1";"Schoenes";"O";"schoenes#1"
"beliebten#positive";"1";"1";"1";"beliebt";"G";"beliebten#1"
"kämpfen#strongnegative";"1";"1";"1";"kämpfen";"V";"kämpfen#1"
"notgedrungen#negative";"1";"1";"1";"notgedrungen";"G";"notgedrungen#1"
"sauber.#positive";"1";"1";"1";".";"O";"sauber.#1"
"abgenutzte#negative";"1";"1";"1";"abgenutzt";"G";"abgenutzte#1"
"gebrochen#negative";"1";"1";"1";"brechen";"V";"gebrochen#1"
"blutflecken#negative";"1";"1";"1";"Blutfleck";"N";"blutflecken#1"
"mies#negative";"1";"1";"1";"mies";"G";"mies#1"
"idyllischer#positive";"1";"1";"1";"idyllisch";"G";"idyllischer#1"
"vile#strongnegative";"1";"1";"1";"vile";"O";"vile#1"
"airportanbindung#positive";"1";"1";"1";"Airportanbindung";"O";"airportanbindung#1"
"veraltetes#negative";"1";"1";"1";"veraltet";"G";"veraltetes#1"
"altmodisch#negative";"1";"1";"1";"altmodisch";"G";"altmodisch#1"
"zuvorkommendes#positive";"1";"1";"1";"zuvorkommendes";"O";"zuvorkommendes#1"
"einkaufsmöglichkeiten#positive";"1";"1";"1";"Einkaufsmöglichkeit";"N";"einkaufsmöglichkeiten#1"
"säuerlich#negative";"1";"1";"1";"säuerlich";"G";"säuerlich#1"
"altmodische#negative";"1";"1";"1";"altmodisch";"G";"altmodische#1"
"heller#positive";"1";"1";"1";"hell";"G";"heller#1"
"leere#negative";"1";"1";"1";"leer";"G";"leere#1"
"vielfältiger#positive";"1";"1";"1";"vielfältig";"G";"vielfältiger#1"
"verkrustet#negative";"1";"1";"1";"verkrusten";"V";"verkrustet#1"
"ausgebleichten#negative";"1";"1";"1";"ausgebleicht";"G";"ausgebleichten#1"
"angenehmen#positive";"1";"1";"1";"angenehm";"G";"angenehmen#1"
"führungslosen#negative";"1";"1";"1";"führungslos";"G";"führungslosen#1"
"unfreundliche#negative";"1";"1";"1";"unfreundlich";"G";"unfreundliche#1"
"seifenreste#negative";"1";"1";"1";"Seifenreste";"O";"seifenreste#1"
"provisorische#negative";"1";"1";"1";"provisorisch";"G";"provisorische#1"
"freundlcih#positive";"1";"1";"1";"freundlcih";"O";"freundlcih#1"
"überbezahlt#negative";"1";"1";"1";"überbezahlen";"V";"überbezahlt#1"
"wohltuend#positive";"1";"1";"1";"wohltuend";"G";"wohltuend#1"
"defekten#negative";"1";"1";"1";"defekt";"G";"defekten#1"
"valet#positive";"1";"1";"1";"Valet";"O";"valet#1"
"ist.für#positive";"1";"1";"1";"für";"P";"ist.für#1"
"stylisches#positive";"1";"1";"1";"stylisches";"O";"stylisches#1"
"sensationnel#strongpositive";"1";"1";"1";"sensationnel";"O";"sensationnel#1"
"gabs#positive";"1";"1";"1";"gabs";"O";"gabs#1"
"dürftig#negative";"1";"1";"1";"dürftig";"G";"dürftig#1"
"röhren#negative";"1";"1";"1";"Röhre|Röhren";"N";"röhren#1"
"ansprechende#positive";"1";"1";"1";"ansprechend";"G";"ansprechende#1"
"abgenutztes#negative";"1";"1";"1";"abgenutzt";"G";"abgenutztes#1"
"scheußlich#strongnegative";"1";"1";"1";"scheußlich";"G";"scheußlich#1"
"abgeplatzte#negative";"1";"1";"1";"abgeplatzte";"O";"abgeplatzte#1"
"nobles#positive";"1";"1";"1";"nobel";"G";"nobles#1"
"winzigste#negative";"1";"1";"1";"winzig";"G";"winzigste#1"
"nah#positive";"1";"1";"1";"nah";"G";"nah#1"
"heidelbeeren#positive";"1";"1";"1";"Heidelbeere";"N";"heidelbeeren#1"
"fantastische#strongpositive";"1";"1";"1";"fantastisch";"G";"fantastische#1"
"zantrales#positive";"1";"1";"1";"Zantrales";"O";"zantrales#1"
"prunkvoller#strongpositive";"1";"1";"1";"prunkvoll";"G";"prunkvoller#1"
"engagiertem#positive";"1";"1";"1";"engagiert";"G";"engagiertem#1"
"lustige#positive";"1";"1";"1";"lustig";"G";"lustige#1"
"verklakte#negative";"1";"1";"1";"verklakte";"O";"verklakte#1"
"vieler#positive";"1";"1";"1";"viele";"Q";"vieler#1"
"interessantes#positive";"1";"1";"1";"interessant";"G";"interessantes#1"
"neuen#positive";"1";"1";"1";"neu";"G";"neuen#1"
"kostenfreie#positive";"1";"1";"1";"kostenfrei";"G";"kostenfreie#1"
"kostenfreier#positive";"1";"1";"1";"kostenfrei";"G";"kostenfreier#1"
"sauber#positive";"0";"31";"88";"sauber";"G";"sauber#88"
"super#strongpositive";"0";"25";"73";"Super";"N";"super#73"
"gutes#positive";"0";"21";"40";"gut";"G";"gutes#40"
"ok#positive";"0";"16";"37";"ok";"O";"ok#37"
"gut#positive";"0";"15";"134";"gut";"G";"gut#134"
"gute#positive";"0";"14";"33";"gut";"G";"gute#33"
"freundlich#positive";"0";"12";"45";"freundlich";"G";"freundlich#45"
"tolles#positive";"0";"11";"15";"toll";"G";"tolles#15"
"kein#negative";"0";"11";"61";"keine";"Q";"kein#61"
"top#strongpositive";"0";"11";"23";"Top";"R";"top#23"
"schönes#positive";"0";"9";"34";"schön";"G";"schönes#34"
"schön#positive";"0";"9";"44";"schön";"G";"schön#44"
"hilfsbereit#positive";"0";"9";"16";"hilfsbereit";"G";"hilfsbereit#16"
"nettes#positive";"0";"9";"14";"nett";"G";"nettes#14"
"leider#negative";"0";"9";"70";"leider";"A";"leider#70"
"klein#negative";"0";"9";"47";"klein";"G";"klein#47"
"kostenlos#positive";"0";"9";"14";"kostenlos";"G";"kostenlos#14"
"toller#positive";"0";"7";"18";"toll";"G";"toller#18"
"schöne#positive";"0";"7";"19";"schön";"G";"schöne#19"
"schöner#positive";"0";"7";"16";"schön";"G";"schöner#16"
"super#positive";"0";"7";"73";"Super";"N";"super#73"
"ausreichend#positive";"0";"6";"28";"ausreichend";"G";"ausreichend#28"
"wunderschöne#strongpositive";"0";"6";"9";"wunderschön";"G";"wunderschöne#9"
"keine#negative";"0";"6";"65";"keine";"Q";"keine#65"
"alt#negative";"0";"5";"15";"alt";"G";"alt#15"
"kleines#negative";"0";"5";"18";"klein";"G";"kleines#18"
"schlecht#negative";"0";"5";"24";"schlecht";"G";"schlecht#24"
"ruhige#positive";"0";"5";"8";"ruhig";"G";"ruhige#8"
"alte#negative";"0";"5";"8";"alt";"G";"alte#8"
"geräumig#positive";"0";"5";"10";"geräumig";"G";"geräumig#10"
"gepflegt#positive";"0";"5";"18";"gepflegt";"G";"gepflegt#18"
"tolle#positive";"0";"4";"11";"toll";"G";"tolle#11"
"modern#positive";"0";"4";"14";"modern";"G";"modern#14"
"schönen#positive";"0";"4";"12";"schön";"G";"schönen#12"
"großes#positive";"0";"4";"9";"groß";"G";"großes#9"
"toll#positive";"0";"4";"10";"toll";"G";"toll#10"
"ideal#strongpositive";"0";"4";"7";"ideal";"G";"ideal#7"
"ruhiges#positive";"0";"4";"5";"ruhig";"G";"ruhiges#5"
"viele#negative";"0";"4";"46";"viele";"Q";"viele#46"
"erholsamer#positive";"0";"4";"5";"erholsam";"G";"erholsamer#5"
"große#positive";"0";"4";"13";"Große";"G";"große#13"
"flecken#negative";"0";"4";"11";"Flecken";"N";"flecken#11"
"groß#positive";"0";"4";"35";"groß";"G";"groß#35"
"schade#negative";"0";"4";"8";"schade";"G";"schade#8"
"klasse#positive";"0";"3";"8";"klasse";"G";"klasse#8"
"unfreundlich#negative";"0";"3";"8";"unfreundlich";"G";"unfreundlich#8"
"guter#positive";"0";"3";"18";"gut";"G";"guter#18"
"laut#negative";"0";"3";"13";"laut";"G";"laut#13"
"perfekter#strongpositive";"0";"3";"4";"perfekt";"G";"perfekter#4"
"fehlte#negative";"0";"3";"5";"fehlen";"V";"fehlte#5"
"gepflegte#positive";"0";"3";"7";"gepflegt";"G";"gepflegte#7"
"ruhig#positive";"0";"3";"22";"ruhig";"G";"ruhig#22"
"okay#positive";"0";"3";"4";"Okay";"R";"okay#4"
"dreckig#negative";"0";"3";"7";"dreckig";"G";"dreckig#7"
"reichhaltig#positive";"0";"3";"15";"reichhaltig";"G";"reichhaltig#15"
"positiv#positive";"0";"3";"11";"positiv";"G";"positiv#11"
"defekt#negative";"0";"3";"6";"defekt";"G";"defekt#6"
"zuvorkommend#positive";"0";"3";"7";"zuvorkommend";"G";"zuvorkommend#7"
"schlechte#negative";"0";"3";"6";"schlecht";"G";"schlechte#6"
"modernes#positive";"0";"3";"6";"modern";"G";"modernes#6"
"gemütlich#positive";"0";"2";"4";"gemütlich";"G";"gemütlich#4"
"weiterempfehlen#positive";"0";"2";"7";"weiterempfehlen";"V";"weiterempfehlen#7"
"katastrophe#strongnegative";"0";"2";"6";"Katastrophe";"N";"katastrophe#6"
"sehr#positive";"0";"2";"502";"sehr";"A";"sehr#508"
"wenig#negative";"0";"2";"38";"wenige";"Q";"wenig#38"
"renoviert#positive";"0";"2";"20";"renovieren";"V";"renoviert#20"
"kompetent#positive";"0";"2";"4";"kompetent";"G";"kompetent#4"
"kleinem#negative";"0";"2";"3";"klein";"G";"kleinem#3"
"angenehm#positive";"0";"2";"14";"angenehm";"G";"angenehm#14"
"täglich#positive";"0";"2";"12";"täglich";"G";"täglich#12"
"aufmerksam#positive";"0";"2";"4";"aufmerksam";"G";"aufmerksam#4"
"tollem#positive";"0";"2";"6";"toll";"G";"tollem#6"
"genossen#positive";"0";"2";"5";"genießen";"V";"genossen#5"
"gratis#positive";"0";"2";"5";"gratis";"G";"gratis#5"
"empfehlenswertes#positive";"0";"2";"6";"empfehlenswert";"G";"empfehlenswertes#6"
"nette#positive";"0";"2";"5";"nett";"G";"nette#5"
"schimmel#negative";"0";"2";"7";"Schimmel";"N";"schimmel#7"
"kalt#negative";"0";"2";"8";"kalt";"G";"kalt#8"
"angenehmes#positive";"0";"2";"6";"angenehm";"G";"angenehmes#6"
"freundlicher#positive";"0";"2";"3";"freundlich";"G";"freundlicher#3"
"schmutzig#negative";"0";"2";"3";"schmutzig";"G";"schmutzig#3"
"moderner#positive";"0";"2";"3";"modern";"G";"moderner#3"
"hergerichtet#positive";"0";"2";"3";"herrichten";"V";"hergerichtet#3"
"günstig#positive";"0";"2";"10";"günstig";"G";"günstig#10"
"freundliche#positive";"0";"2";"7";"freundlich";"G";"freundliche#7"
"vielfältig#positive";"0";"2";"4";"vielfältig";"G";"vielfältig#4"
"schnell#positive";"0";"2";"17";"schnell";"G";"schnell#17"
"kein#positive";"0";"2";"61";"keine";"Q";"kein#61"
"fehlende#strongnegative";"0";"2";"5";"fehlend";"G";"fehlende#5"
"fleckig#negative";"0";"2";"3";"fleckig";"G";"fleckig#3"
"vorteil#positive";"0";"2";"6";"Vorteil";"N";"vorteil#6"
"ordentlich#positive";"0";"2";"7";"ordentlich";"G";"ordentlich#7"
"viele#positive";"0";"2";"46";"viele";"Q";"viele#46"
"freundlichkeit#positive";"0";"2";"13";"Freundlichkeit";"N";"freundlichkeit#13"
"überall#negative";"0";"2";"15";"überall";"A";"überall#15"
"bemüht#positive";"0";"2";"5";"bemüht";"G";"bemüht#5"
"wunderschönen#strongpositive";"0";"2";"7";"wunderschön";"G";"wunderschönen#7"
"kleine#negative";"0";"2";"14";"klein";"G";"kleine#14"
"überschaubar#positive";"0";"2";"3";"überschaubar";"G";"überschaubar#3"
"kostenlose#positive";"0";"2";"4";"kostenlos";"G";"kostenlose#4"
"negativ#negative";"0";"2";"12";"negativ";"G";"negativ#12"
"o.k.#positive";"0";"2";"3";"k.";"O";"o.k.#3"
"hell#positive";"0";"2";"4";"hell";"R";"hell#4"
"achtung#strongnegative";"0";"2";"5";"achtung";"O";"achtung#5"
"auffällig#negative";"0";"1";"2";"auffällig";"G";"auffällig#2"
"kinderfreundlich#positive";"0";"1";"4";"kinderfreundlich";"G";"kinderfreundlich#4"
"wenige#negative";"0";"1";"12";"wenige";"Q";"wenige#12"
"wunderschöne#positive";"0";"1";"9";"wunderschön";"G";"wunderschöne#9"
"teuer#negative";"0";"1";"13";"teuer";"G";"teuer#13"
"hart#negative";"0";"1";"3";"hart";"G";"hart#3"
